codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20668,184,Present,0.514552548483795,9.478584583888505e-11,8.600897771771088e-12,TRUE,0.12339637042743379,-8.378786321063117,0.6980318849209364,0.4115129987330132,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20670,184,Present,1.9909023488917654e-5,0.0067988865847814495,0.008584391451975315,TRUE,0.16042497684648027,-7.54557278554497,1.1194561566836743,0.833590975732877,1,1,1,1,None,None,seats,"Q = 1.12 > 1, decomposição X-11 fraca",ajustada
20671,184,Present,0.0012219398455910468,8.242734201425739e-4,8.239122157649437e-5,TRUE,8.358694470982364e-4,-8.103093190341736,0.6390710564415085,0.7724428330214529,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20672,184,None,6.563575301254954e-5,0.002078587037872448,1.9180377886418576e-4,TRUE,6.973374643743924e-4,-6.782155830829747,0.702167984706266,1.0194113768036743,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20673,184,Present,1.2603782518438855e-5,9.431472269838537e-10,1.5523260454841648e-10,TRUE,3.5551561694546763e-12,-6.471040403428312,0.400499317444342,0.42239496217488026,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20674,184,Present,1.6288420612298182e-9,2.849469438181984e-9,1.5908274697551406e-10,TRUE,1.850741782050136e-13,-7.0781947434997194,0.3696812792319257,0.2960478283564588,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20679,184,Present,1.0760362934014722e-8,1.2964835982565148e-8,8.8219180849336e-9,TRUE,5.559868565541137e-9,-7.2105525678825995,0.567043465158553,0.6981206475436582,0.5548761249395717,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20680,184,Present,3.523948909625041e-4,0.0011554511189914018,7.666379258730593e-5,TRUE,9.141226210829245e-5,-5.4430568269953055,0.5794642546274624,0.7843464682692645,1,0.9997665600326157,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20681,184,Present,0,5.551115123125783e-16,0,TRUE,0,-3.942131583348349,0.24829050473843478,0.26126619838389636,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20682,184,Present,0,1.3322676295501878e-15,1.1102230246251565e-16,TRUE,0,-4.2125452232621035,0.21904931484389858,0.2845262693060234,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20676,184,None,0.5872614282817354,0.12245728663943034,0.007595011280770669,FALSE,0.18205746575614967,-20.452742186839085,1.717767764963741,1.4127745758434807,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20677,184,None,1,0.17487982551612835,0.1407823157367345,FALSE,0.10924721284246042,-7.5155361201812685,2.140407908463607,3,1,1,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20678,184,None,0.5110807954196147,0.001377164599925762,2.3763891305284002e-4,TRUE,0.07430697530252073,-13.131383020442223,1.2895434237275032,1.1140512228507284,1,0.3361775116731778,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20683,184,Present,1.9566763298506373e-7,2.5378447432444773e-7,7.971633964043434e-8,TRUE,6.724305414707032e-7,-9.049609371137318,0.7404340712836125,0.40647705269084955,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20667,184,Present,0.033113120233764226,5.5977291206321667e-5,2.1694113069070653e-5,TRUE,1.8974080061573417e-5,-9.600481905797052,0.5531704849562888,0.6957231902205895,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20684,184,Present,1.0254375126805826e-10,5.582017070793199e-9,3.7100922334332154e-10,TRUE,0,-5.625615907134399,0.5781564620695139,0.4155730826505417,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20663,184,Present,5.804985021575781e-4,6.037282683541978e-4,5.936894646829671e-5,TRUE,4.98087972580219e-5,-6.755582242096298,0.5848633018376684,0.6986399532002416,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20664,184,Present,7.771561172376096e-16,9.103828801926284e-15,1.2212453270876722e-15,TRUE,0,-4.444032604367474,0.2163989030174009,0.22441426384511434,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20662,184,Present,1.6935353119862384e-10,1.1461942506230116e-11,3.775202372935382e-12,TRUE,4.107825191113079e-15,-4.984817562136829,0.24704990375723215,0.27920581744723727,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
