codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,metodo,razao,status
20660,184,ProbablyNone,1.6106924165093517e-5,9.024786348121872e-6,2.04334864192246e-5,TRUE,0.00870983729563668,-7.341412419638567,1.6194803114114513,0.9743781631094234,1,1,0.86974356201026,0.991377461309618,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20661,184,Present,6.847855615887966e-13,3.8531106860695274e-8,8.703767706563781e-10,TRUE,3.3668623444782497e-10,-3.934517552365613,1.0266060349160993,0.7419780895709942,1,1,0.979212649632289,0.989662611840351,seats,"Q = 1.03 > 1, decomposição X-11 fraca",ajustada
20635,184,Present,0,0,0,TRUE,0,-2.0109538840975474,0.5323862729936809,0.3178649256538051,0.974701568951926,1,0.565334837209429,0.991893455225537,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20665,184,Present,2.2539907095664447e-5,1.194795135384119e-6,1.0004262507301576e-6,TRUE,1.1883904564857772e-6,-6.582900394148888,0.5795254137590645,0.5663287134555907,1,0.505992991138045,0.999134723853868,0.831974512227799,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20666,184,Present,8.284025178728616e-5,4.319155244569828e-6,1.9192274399726372e-6,TRUE,2.0136802459203018e-4,-5.959846472519196,0.7657755329261653,0.7747890619657225,1,1,0.985260315685579,0.65021783399069,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20669,184,Present,0.051167446459374544,2.070790850948745e-4,4.13381647071942e-5,TRUE,9.220986983971002e-6,-9.552825082818186,0.7331591274238501,0.8182733572385745,1,0.0240568126330338,0.958482950582894,1.13535696805299e-6,x11,SEATS deixa sazonalidade residual (QS),ajustada
20668,184,Present,0.514552548483795,9.478584583888505e-11,8.600897771771088e-12,TRUE,0.12339637042743379,-8.378786321063117,0.9388548422062848,0.5017655216230026,1,4.80065986963041e-11,0.941863653591509,0.446088369435637,x11,SEATS deixa sazonalidade residual (QS),ajustada
20670,184,ProbablyNone,1.9909023488917654e-5,0.0067988865847814495,0.008584391451975315,TRUE,0.16042497684648027,-7.54557278554497,1.3281275812941076,0.8549632779145683,1,1,0.886865097473994,0.979623028460431,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20671,184,Present,0.0012219398455910468,8.242734201425739e-4,8.239122157649437e-5,TRUE,8.358694470982364e-4,-8.103093190341736,0.8967764758144304,0.8214918376518172,1,1,0.972909153041749,0.771683965093695,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20672,184,ProbablyNone,6.563575301254954e-5,0.002078587037872448,1.9180377886418576e-4,TRUE,6.973374643743924e-4,-6.782155830829747,1.031670281632318,1.0907887754713568,1,1,0.626958715990732,0.377389106445159,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20673,184,Present,1.2603782518438855e-5,9.431472269838537e-10,1.5523260454841648e-10,TRUE,3.5551561694546763e-12,-6.471040403428312,0.7070310119921156,0.6449711364118416,0.484030024952259,1,0.640866519336789,0.795562782380355,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20674,184,Present,1.6288420612298182e-9,2.849469438181984e-9,1.5908274697551406e-10,TRUE,1.850741782050136e-13,-7.0781947434997194,0.4327234758665721,0.2934489432927387,1,1,0.566778168253709,0.607971583115223,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20679,184,Present,1.0760362934014722e-8,1.2964835982565148e-8,8.8219180849336e-9,TRUE,5.559868565541137e-9,-7.2105525678825995,0.695239874340578,0.7963000556222697,1,1,0.841171703317714,0.978095412008287,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20680,184,Present,3.523948909625041e-4,0.0011554511189914018,7.666379258730593e-5,TRUE,9.141226210829245e-5,-5.4430568269953055,0.5665463459931827,0.6596586897192811,1,1,0.99249984610835,0.927579173952601,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20681,184,Present,0,5.551115123125783e-16,0,TRUE,0,-3.942131583348349,0.27849892319456293,0.24251750885115264,1,1,0.963778798370641,0.99946332178147,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20682,184,Present,0,1.3322676295501878e-15,1.1102230246251565e-16,TRUE,0,-4.2125452232621035,0.25147436382561156,0.2732153605184076,1,1,0.891671134768216,0.988020197392496,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20676,184,None,0.5872614282817354,0.12245728663943034,0.007595011280770669,FALSE,0.18205746575614967,-20.452742186839085,1.1211388962703426,1.6596474166722317,0.00580846705169025,0.429618281558798,0.525456503008992,0.369665593799716,nenhum,teste combinado: None,sem_sazonalidade
20677,184,None,1,0.17487982551612835,0.1407823157367345,FALSE,0.10924721284246042,-7.5155361201812685,2.2472561188348528,3,1,0.952457825307413,0.821659388987153,0.843343554671393,nenhum,teste combinado: None,sem_sazonalidade
20678,184,None,0.5110807954196147,0.001377164599925762,2.3763891305284002e-4,TRUE,0.07430697530252073,-13.131383020442223,1.38933827071014,1.3093176279020597,1,0.800823414175828,0.747451395827741,0.555145360140657,nenhum,teste combinado: None,sem_sazonalidade
20683,184,Present,1.9566763298506373e-7,2.5378447432444773e-7,7.971633964043434e-8,TRUE,6.724305414707032e-7,-9.049609371137318,1.0079406010875254,0.6497323985083486,1,0.906876597615959,0.996898190882722,0.873057825736061,seats,"Q = 1.01 > 1, decomposição X-11 fraca",ajustada
20667,184,Present,0.033113120233764226,5.5977291206321667e-5,2.1694113069070653e-5,TRUE,1.8974080061573417e-5,-9.600481905797052,0.7596430601734542,0.7936849462361572,1,1,0.21480752889288,0.736706820200578,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20684,184,Present,1.0254375126805826e-10,5.582017070793199e-9,3.7100922334332154e-10,TRUE,0,-5.625615907134399,0.708883669506519,0.45807857319529366,1,1,0.420479828718903,0.79208894202344,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20663,184,Present,5.804985021575781e-4,6.037282683541978e-4,5.936894646829671e-5,TRUE,4.98087972580219e-5,-6.755582242096298,0.7277845876365625,0.6914283579721662,0.99661460080625,1,0.696968357286048,0.838076016046678,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20664,184,Present,7.771561172376096e-16,9.103828801926284e-15,1.2212453270876722e-15,TRUE,0,-4.444032604367474,0.35042229158677707,0.24051092688187012,1,1,0.933682317066294,0.989963559559977,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20662,184,Present,1.6935353119862384e-10,1.1461942506230116e-11,3.775202372935382e-12,TRUE,4.107825191113079e-15,-4.984817562136829,0.37545029686027326,0.2724727534209836,1,1,0.524515878584137,0.903170319480569,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20687,184,ProbablyNone,5.483775458136053e-4,1.5741374870259506e-10,2.1856960685795457e-12,TRUE,4.336037672534321e-4,-7.643959121376814,1.0295146265346116,0.9772623206229825,1,1,0.931248018225417,0.433163725645327,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20688,184,Present,0,2.133759835487581e-11,4.871658632055187e-13,TRUE,0,-6.233038985571201,0.6417055079797132,0.5423554151365388,0.993813752124375,1,0.892951056485769,0.986648195530926,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20689,184,Present,3.863576125695545e-14,1.6653345369377348e-14,2.55351295663786e-15,TRUE,4.733990977001667e-13,-5.877300750964481,0.8076877374936029,0.5167947304032655,1,1,0.96197219034019,0.926990207903104,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20690,184,None,0.00884153375099972,3.9334292791570746e-5,2.4202614001489486e-5,TRUE,0.005453455575567312,-9.105008087824316,1.2703834618357615,1.3322584295681157,1,0.177796017041587,0.952782134361646,0.00152116080639276,nenhum,teste combinado: None,sem_sazonalidade
20691,184,Present,1.6046954839366023e-6,8.22432751901303e-8,1.4277312665456066e-9,TRUE,7.505978061317364e-10,-7.703949019719796,0.9040888831822596,0.7989570264940301,1,1,0.368776031806435,0.0752947531580247,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
