codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,combined3_x11,combined3_seats,metodo,razao,status
20699,184,Present,3.1361874178181814e-5,1.1073756356339004e-8,1.1971179192382664e-7,TRUE,0.0021065650889600107,-8.325490187634031,0.6667910658926179,0.6804805959889161,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20700,184,Present,0,0,0,TRUE,0,-3.4660028098175673,0.4478063178653453,0.40317165716340136,0.9659642799895058,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20701,184,Present,0,0,0,TRUE,0,-3.918822483120054,0.44481405837826643,0.2465919975407496,0.43040683807102853,0,1,1,None,None,x11,SEATS deixa sazonalidade residual (QS),ajustada
20702,184,Present,5.480086353714109e-4,1.0520331074848066e-5,1.3959074796288107e-5,TRUE,1.2048046824642e-6,-6.812731263022584,0.5981658731970909,0.6329613957321347,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20703,184,Present,9.937819921423952e-7,2.4366935058584005e-7,3.2933392568601505e-8,TRUE,1.699018703504862e-11,-6.6058426126262395,0.5464164692419952,0.4994187427421602,0.6898676539516962,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20704,184,Present,3.327377312567492e-7,9.966264047367446e-8,2.5957691773825786e-8,TRUE,6.2025939939758246e-12,-6.331922212876165,0.5491781452442241,0.4762258256661599,0.6545490073853748,0.9258333645909965,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20708,184,None,0,8.591144154945773e-5,2.7538634922108507e-5,TRUE,3.9216404801312166e-7,-4.451323765486811,0.9766885803721423,1.096561237170377,1,2.4295643274996337e-10,1,1,None,None,nenhum,teste combinado: None,sem_sazonalidade
20712,184,Present,1.3322676295501878e-15,1.4195311592857252e-12,2.453592884421596e-14,TRUE,0,-6.913717603103418,0.5492847295277112,0.45307867586334377,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20713,184,ProbablyNone,0.008223310261530226,0.1125094062045553,0.03078144321481535,FALSE,0.01840664648055479,-8.659362486665426,0.8074497737161869,0.8163727156328585,1,1,1,1,None,None,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20698,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-3.641525394416093,0.4111882980600841,0.28574925276758256,0.5755624949528031,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20634,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-2.9234470633428953,0.3087598238278978,0.2888532279839694,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20685,184,Present,0,9.547918011776346e-15,1.1102230246251565e-15,TRUE,0,-3.4305367288330326,0.5296060243539074,0.3311145037769715,0.9477466839207813,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20631,184,Present,0,1.1102230246251565e-16,0,TRUE,0,-2.51996002596913,0.3305088927920447,0.2663534055991641,1,0.9866801856804288,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20632,184,Present,0,0,0,TRUE,0,-1.7663197026649977,0.5691866688004572,0.28818227353437426,0.5382552245814926,0.4223261616643422,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20633,184,Present,5.81756864903582e-14,7.019940184704865e-13,2.7133850721838826e-13,TRUE,0,-4.380717366995268,0.339247745625687,0.3057266744599883,1,1,1,1,None,None,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
