codigo,date,value_sa
20637,2021-10-01,928.7229994767204
20637,2021-11-01,939.1222235593414
20637,2021-12-01,900.9323143473803
20637,2022-01-01,927.6562667564814
20637,2022-02-01,900.6507654894286
20637,2022-03-01,992.3297716983251
20637,2022-04-01,939.210723363589
20637,2022-05-01,925.1461058100899
20637,2022-06-01,897.6522211924747
20637,2022-07-01,875.131471827083
20637,2022-08-01,836.1316952407374
20637,2022-09-01,814.8877588876691
20637,2022-10-01,772.8324075869959
20637,2022-11-01,718.0519398705528
20637,2022-12-01,673.267806147521
20637,2023-01-01,640.9945905060799
20637,2023-02-01,599.0984718686092
20637,2023-03-01,567.4700702739128
20637,2023-04-01,531.3291963771956
20637,2023-05-01,489.6745918944739
20637,2023-06-01,473.71320011530366
20637,2023-07-01,453.6663416389222
20637,2023-08-01,436.15335292660995
20637,2023-09-01,424.9489547266333
20637,2023-10-01,419.659330938517
20637,2023-11-01,407.636855049952
20637,2023-12-01,401.2651965620457
20637,2024-01-01,414.8869382560479
20637,2024-02-01,396.53736535597676
20637,2024-03-01,384.4848011248849
20637,2024-04-01,370.9921624207112
20637,2024-05-01,379.18181862098163
20637,2024-06-01,370.433856354005
20637,2024-07-01,383.0631997477372
20637,2024-08-01,395.95248082177284
20637,2024-09-01,396.89756656195334
20637,2024-10-01,378.600991137436
20637,2024-11-01,391.9753109258157
20637,2024-12-01,392.65755007392744
20637,2025-01-01,384.7156982624835
20637,2025-02-01,394.06370654838025
20637,2025-03-01,397.358921027313
20637,2025-04-01,396.02028310583177
20637,2025-05-01,405.8089934322813
20637,2025-06-01,371.2470441183217
20637,2025-07-01,385.59363007567464
20637,2025-08-01,370.269714619998
20637,2025-09-01,363.2785476397371
20637,2025-10-01,368.5707410862029
20637,2025-11-01,346.4083114399792
20637,2025-12-01,343.4917556837302
20637,2026-01-01,331.08826944190895
20637,2026-02-01,294.9656306400697
20637,2026-03-01,299.0558812046429
20637,2026-04-01,324.5475836226112
20637,2026-05-01,295.140923920498
20637,2026-06-01,280.00289534991424
20638,2011-03-01,1733.7553263695143
20638,2011-04-01,1769.506293128704
20638,2011-05-01,1848.0649208282312
20638,2011-06-01,1905.6456792618865
20638,2011-07-01,1916.5833167456155
20638,2011-08-01,1925.1841666365367
20638,2011-09-01,1942.1657583856747
20638,2011-10-01,1985.869329702977
20638,2011-11-01,2050.734834113677
